Date,Close,Open,High,Low
"Dec 29, 2020",136.53,138.05,138.78,135.53
"Dec 28, 2020",136.69,133.99,137.34,133.52
"Dec 24, 2020",131.97,131.32,133.46,131.10
"Dec 23, 2020",130.96,132.18,132.32,130.83
"Dec 22, 2020",131.88,131.68,134.40,129.66
"Dec 21, 2020",128.23,125.03,128.26,123.47
"Dec 18, 2020",126.65,128.96,129.10,126.12
"Dec 17, 2020",128.70,129.00,129.52,128.05
"Dec 16, 2020",127.81,127.41,128.37,126.56
"Dec 15, 2020",127.88,124.26,127.89,124.15
"Dec 14, 2020",121.78,122.54,123.32,121.72
"Dec 11, 2020",122.41,122.43,122.76,120.55
"Dec 10, 2020",123.24,120.37,123.86,120.37
"Dec 09, 2020",121.78,124.49,125.93,121.07
"Dec 08, 2020",124.38,124.30,124.98,123.11
"Dec 07, 2020",123.75,122.34,124.54,122.26
"Dec 04, 2020",122.25,122.60,122.86,121.52
"Dec 03, 2020",122.94,123.51,123.77,122.24
"Dec 02, 2020",123.08,122.15,123.37,120.92
"Dec 01, 2020",122.72,121.01,123.47,120.01
"Nov 30, 2020",119.05,116.97,120.97,116.81
"Nov 27, 2020",116.59,116.57,117.49,116.22
"Nov 25, 2020",116.03,115.63,116.75,115.23
"Nov 24, 2020",115.17,113.96,115.85,112.59
"Nov 23, 2020",113.85,117.21,117.59,113.76
"Nov 20, 2020",117.34,118.64,118.77,117.29
"Nov 19, 2020",118.64,117.33,118.95,116.84
"Nov 18, 2020",118.03,118.61,119.82,118.00
"Nov 17, 2020",119.39,119.51,120.67,118.99
"Nov 16, 2020",120.30,118.93,120.99,118.17
"Nov 13, 2020",119.26,119.44,119.67,117.87
"Nov 12, 2020",119.21,119.55,120.52,118.58
"Nov 11, 2020",119.49,117.17,119.59,116.51
"Nov 10, 2020",115.97,115.57,117.58,114.14
"Nov 09, 2020",116.32,120.50,121.98,116.12
"Nov 06, 2020",118.69,118.32,119.20,116.13
"Nov 05, 2020",119.03,118.00,119.62,116.88
"Nov 04, 2020",114.95,114.14,115.59,112.35
