Date,Close,Open,High,Low,SMA_20
"Dec 29, 2020",136.53,138.05,138.78,135.53,126.78150000000001
"Dec 28, 2020",136.69,133.99,137.34,133.52,125.90749999999998
"Dec 24, 2020",131.97,131.32,133.46,131.1,124.9025
"Dec 23, 2020",130.96,132.18,132.32,130.83,124.1055
"Dec 22, 2020",131.88,131.68,134.4,129.66,123.31599999999999
"Dec 21, 2020",128.23,125.03,128.26,123.47,122.4145
"Dec 18, 2020",126.65,128.96,129.1,126.12,121.87
"Dec 17, 2020",128.7,129.0,129.52,128.05,121.46950000000001
"Dec 16, 2020",127.81,127.41,128.37,126.56,120.93599999999999
"Dec 15, 2020",127.88,124.26,127.89,124.15,120.51499999999999
"Dec 14, 2020",121.78,122.54,123.32,121.72,120.136
"Dec 11, 2020",122.41,122.43,122.76,120.55,120.00999999999999
"Dec 10, 2020",123.24,120.37,123.86,120.37,119.85
"Dec 09, 2020",121.78,124.49,125.93,121.07,119.6625
"Dec 08, 2020",124.38,124.3,124.98,123.11,119.372
"Dec 07, 2020",123.75,122.34,124.54,122.26,118.96900000000001
"Dec 04, 2020",122.25,122.6,122.86,121.52,118.71600000000001
"Dec 03, 2020",122.94,123.51,123.77,122.24,118.55499999999999
"Dec 02, 2020",123.08,122.15,123.37,120.92,118.1555
"Dec 01, 2020",122.72,121.01,123.47,120.01,117.52350000000001
"Nov 30, 2020",119.05,116.97,120.97,116.81,116.826
"Nov 27, 2020",116.59,116.57,117.49,116.22,116.31649999999999
"Nov 25, 2020",116.03,115.63,116.75,115.23,116.253
"Nov 24, 2020",115.17,113.96,115.85,112.59,116.01149999999998
"Nov 23, 2020",113.85,117.21,117.59,113.76,116.08300000000001
"Nov 20, 2020",117.34,118.64,118.77,117.29,116.14299999999999
"Nov 19, 2020",118.64,117.33,118.95,116.84,116.02799999999999
"Nov 18, 2020",118.03,118.61,119.82,118.0,115.88349999999998
"Nov 17, 2020",119.39,119.51,120.67,118.99,115.8255
"Nov 16, 2020",120.3,118.93,120.99,118.17,115.73150000000001
"Nov 13, 2020",119.26,119.44,119.67,117.87,115.5155
"Nov 12, 2020",119.21,119.55,120.52,118.58,115.5035
"Nov 11, 2020",119.49,117.17,119.59,116.51,115.5785
"Nov 10, 2020",115.97,115.57,117.58,114.14,115.6635
"Nov 09, 2020",116.32,120.5,121.98,116.12,115.92
"Nov 06, 2020",118.69,118.32,119.2,116.13,116.324
"Nov 05, 2020",119.03,118.0,119.62,116.88,116.23799999999999
"Nov 04, 2020",114.95,114.14,115.59,112.35,116.03500000000001
"Nov 03, 2020",110.44,109.66,111.49,108.73,116.0415
"Nov 02, 2020",108.77,109.11,110.68,107.32,116.17749999999998
"Oct 30, 2020",108.86,111.06,111.99,107.72,116.564
"Oct 29, 2020",115.32,112.37,116.93,112.2,116.772
"Oct 28, 2020",111.2,114.95,115.42,111.17,116.84549999999999
"Oct 27, 2020",116.6,115.48,117.27,114.54,117.076
"Oct 26, 2020",115.05,113.89,116.52,112.89,116.95049999999999
"Oct 23, 2020",115.04,116.39,116.55,114.28,116.946
"Oct 22, 2020",115.75,117.41,118.02,114.88,116.80800000000002
"Oct 21, 2020",116.87,116.58,118.69,116.58,116.4315
"Oct 20, 2020",117.51,116.08,118.97,115.66,115.94399999999999
"Oct 19, 2020",115.98,120.01,120.4,115.68,115.65899999999999
"Oct 16, 2020",119.02,121.28,121.55,118.81,115.364
"Oct 15, 2020",120.71,119.13,121.19,119.1,114.755
"Oct 14, 2020",121.19,120.92,122.99,119.63,114.2365
"Oct 13, 2020",121.1,125.32,125.32,119.89,113.7835
"Oct 12, 2020",124.4,120.02,125.16,119.36,113.50550000000001
"Oct 09, 2020",116.97,115.28,117.0,114.92,113.05350000000001
"Oct 08, 2020",114.97,116.2,116.3,114.6,112.80500000000002
"Oct 07, 2020",115.08,114.7,115.46,114.14,112.731
"Oct 06, 2020",113.16,115.8,116.09,112.3,112.843
"Oct 05, 2020",116.5,113.91,116.65,113.55,112.826
"Oct 02, 2020",113.02,112.89,115.37,112.22,113.049
"Oct 01, 2020",116.79,117.63,117.63,115.86,113.44200000000001
"Sep 30, 2020",115.81,113.79,117.24,113.75,114.17250000000001
"Sep 29, 2020",114.09,114.54,115.29,113.61,115.09100000000001
"Sep 28, 2020",114.96,115.01,115.32,112.78,115.8385
"Sep 25, 2020",112.28,108.43,112.44,107.67,116.33099999999999
"Sep 24, 2020",108.22,105.17,110.25,105.0,116.9675
"Sep 23, 2020",107.12,111.62,112.11,106.77,117.88250000000001
"Sep 22, 2020",111.81,112.68,112.86,109.16,118.768
"Sep 21, 2020",110.08,104.54,110.19,103.1,119.47050000000002
"Sep 18, 2020",106.84,110.4,110.88,106.09,120.18499999999999
"Sep 17, 2020",110.34,109.72,112.2,108.71,120.75700000000002
"Sep 16, 2020",112.13,115.23,116.0,112.04,121.0255
"Sep 15, 2020",115.54,118.33,118.83,113.61,121.197
"Sep 14, 2020",115.36,114.72,115.93,112.8,121.1505
"Sep 11, 2020",112.0,114.57,115.23,110.0,121.128
"Sep 10, 2020",113.49,120.36,120.5,112.5,121.27849999999998
"Sep 09, 2020",117.32,117.26,119.14,115.26,121.25450000000001
"Sep 08, 2020",112.82,113.95,118.99,112.68,120.85749999999999
"Sep 04, 2020",120.96,120.07,123.7,110.89,120.853
"Sep 03, 2020",120.88,126.91,128.84,120.5,120.3605
"Sep 02, 2020",131.4,137.59,137.98,127.0,120.0115
"Sep 01, 2020",134.18,132.76,134.8,130.53,118.94449999999999
"Aug 31, 2020",129.04,127.58,131.0,126.0,117.71900000000001
"Aug 28, 2020",124.81,126.01,126.44,124.58,116.71400000000001
"Aug 27, 2020",125.01,127.14,127.48,123.83,115.7865
"Aug 26, 2020",126.52,126.18,126.99,125.08,114.34549999999999
"Aug 25, 2020",124.83,124.7,125.18,123.05,112.77149999999999
"Aug 24, 2020",125.86,128.7,128.78,123.94,111.1925
"Aug 21, 2020",124.37,119.26,124.87,119.25,109.63999999999999
"Aug 20, 2020",118.28,115.75,118.39,115.73,108.05199999999999
"Aug 19, 2020",115.71,115.98,117.16,115.61,106.78
"Aug 18, 2020",115.56,114.35,116.0,114.01,105.85799999999999
"Aug 17, 2020",114.61,116.06,116.09,113.96,104.92999999999999
"Aug 14, 2020",114.91,114.83,115.0,113.05,104.11749999999999
"Aug 13, 2020",115.01,114.43,116.04,113.93,103.1885
"Aug 12, 2020",113.01,110.5,113.28,110.3,102.26400000000001
"Aug 11, 2020",109.38,111.97,112.48,109.11,101.4995
"Aug 10, 2020",112.73,112.6,113.78,110.0,100.8835
"Aug 07, 2020",111.11,113.2,113.67,110.29,100.021
"Aug 06, 2020",113.9,110.41,114.41,109.8,99.2615
"Aug 05, 2020",110.06,109.38,110.39,108.9,98.3505
"Aug 04, 2020",109.67,109.13,110.79,108.39,97.61449999999999
"Aug 03, 2020",108.94,108.2,111.64,107.89,96.7895
"Jul 31, 2020",106.26,102.88,106.42,100.83,96.0155
"Jul 30, 2020",96.19,94.19,96.3,93.77,95.25399999999999
"Jul 29, 2020",95.04,93.75,95.23,93.71,94.99600000000001
"Jul 28, 2020",93.25,94.37,94.55,93.25,94.804
"Jul 27, 2020",94.81,93.71,94.91,93.48,94.6635
"Jul 24, 2020",92.61,90.99,92.97,89.14,94.34349999999999
"Jul 23, 2020",92.84,97.0,97.08,92.01,94.2735
"Jul 22, 2020",97.27,96.69,97.97,96.6,94.1325
"Jul 21, 2020",97.0,99.17,99.25,96.74,93.8505
"Jul 20, 2020",98.36,96.42,98.5,96.06,93.4865
"Jul 17, 2020",96.33,96.99,97.15,95.84,92.94
"Jul 16, 2020",96.52,96.56,97.41,95.91,92.52000000000001
"Jul 15, 2020",97.72,98.99,99.25,96.49,92.08900000000001
"Jul 14, 2020",97.06,94.84,97.25,93.88,91.60400000000001
"Jul 13, 2020",95.48,97.27,99.95,95.26,91.0385
"Jul 10, 2020",95.92,95.33,95.98,94.71,90.4995
"Jul 09, 2020",95.68,96.26,96.32,94.67,89.902
"Jul 08, 2020",95.34,94.18,95.38,94.09,89.5285
"Jul 07, 2020",93.17,93.85,94.66,93.06,89.0615
"Jul 06, 2020",93.46,92.5,93.94,92.47,88.571
"Jul 02, 2020",91.03,91.96,92.62,90.91,88.042
"Jul 01, 2020",91.03,91.28,91.84,90.98,87.5195
"Jun 30, 2020",91.2,90.02,91.5,90.0,87.03200000000001
"Jun 29, 2020",90.44,88.31,90.54,87.82,86.5135
"Jun 26, 2020",88.41,91.1,91.33,88.25,86.0145
"Jun 25, 2020",91.21,90.17,91.25,89.39,85.56800000000001
"Jun 24, 2020",90.02,91.25,92.2,89.63,84.9855
"Jun 23, 2020",91.63,91.0,93.09,90.57,84.461
"Jun 22, 2020",89.72,87.83,89.86,87.79,83.8385
"Jun 19, 2020",87.43,88.66,89.14,86.29,83.3385
"Jun 18, 2020",87.93,87.85,88.36,87.31,82.92750000000001
"Jun 17, 2020",87.9,88.79,88.85,87.77,82.5215
"Jun 16, 2020",88.02,87.86,88.3,86.18,82.0405
"Jun 15, 2020",85.75,83.31,86.42,83.14,81.5765
"Jun 12, 2020",84.7,86.18,86.95,83.56,81.13550000000001
"Jun 11, 2020",83.97,87.33,87.77,83.87,80.77
"Jun 10, 2020",88.21,86.97,88.69,86.52,80.417
"Jun 09, 2020",86.0,83.03,86.4,83.0,79.899
"Jun 08, 2020",83.36,82.56,83.4,81.83,79.5365
"Jun 05, 2020",82.88,80.84,82.94,80.81,79.24499999999999
"Jun 04, 2020",80.58,81.1,81.41,80.19,78.898
"Jun 03, 2020",81.28,81.17,81.55,80.58,78.62700000000001
"Jun 02, 2020",80.83,80.19,80.86,79.73,78.2825
"Jun 01, 2020",80.46,79.44,80.59,79.3,77.90549999999999
"May 29, 2020",79.48,79.81,80.29,79.12,77.496
"May 28, 2020",79.56,79.19,80.86,78.91,77.19449999999999
"May 27, 2020",79.53,79.03,79.68,78.27,76.813
"May 26, 2020",79.18,80.88,81.06,79.12,76.3185
"May 22, 2020",79.72,78.94,79.81,78.84,75.899
"May 21, 2020",79.21,79.67,80.22,78.97,75.45
"May 20, 2020",79.81,79.17,79.88,79.05,74.9275
"May 19, 2020",78.28,78.76,79.63,78.25,74.3885
"May 18, 2020",78.74,78.29,79.12,77.58,73.829
"May 15, 2020",76.93,75.09,76.97,75.05,73.3535
"May 14, 2020",77.39,76.13,77.45,75.38,73.042
"May 13, 2020",76.91,78.04,78.99,75.8,72.756
"May 12, 2020",77.85,79.46,79.92,77.73,72.466
"May 11, 2020",78.75,77.03,79.26,76.81,72.1615
"May 08, 2020",77.53,76.41,77.59,76.07,71.6395
"May 07, 2020",75.94,75.81,76.29,75.49,71.113
"May 06, 2020",75.16,75.11,75.81,74.72,70.64200000000001
"May 05, 2020",74.39,73.77,75.25,73.61,70.127
"May 04, 2020",73.29,72.29,73.42,71.58,69.6885
"May 01, 2020",72.27,71.56,74.75,71.46,69.04150000000001
"Apr 30, 2020",73.45,72.49,73.63,72.09,68.4895
"Apr 29, 2020",71.93,71.18,72.42,70.97,67.8285
"Apr 28, 2020",69.64,71.27,71.46,69.55,67.4105
"Apr 27, 2020",70.79,70.45,71.14,69.99,67.1135
"Apr 24, 2020",70.74,69.3,70.75,69.25,66.671
"Apr 23, 2020",68.76,68.97,70.44,68.72,66.36449999999999
"Apr 22, 2020",69.03,68.4,69.47,68.05,65.99549999999999
"Apr 21, 2020",67.09,69.07,69.31,66.36,65.63
"Apr 20, 2020",69.23,69.49,70.42,69.21,65.08000000000001
"Apr 17, 2020",70.7,71.17,71.74,69.22,64.48400000000001
"Apr 16, 2020",71.67,71.84,72.05,70.59,64.009
"Apr 15, 2020",71.11,70.6,71.58,70.16,63.50899999999999
"Apr 14, 2020",71.76,70.0,72.06,69.51,63.1145
"Apr 13, 2020",68.31,67.08,68.42,66.46,62.55400000000001
"Apr 09, 2020",67.0,67.17,67.52,66.17,62.613000000000014
"Apr 08, 2020",66.52,65.69,66.84,65.31,62.36600000000001
"Apr 07, 2020",64.86,67.7,67.92,64.75,62.483000000000004
"Apr 06, 2020",65.62,62.73,65.78,62.34,62.80650000000001
