Date,Close,Open,High,Low,Vol,Change_%
"Dec 30, 2020",124.34,123.74,124.82,123.63,3380494,0.44
"Dec 29, 2020",123.80,125.25,125.48,123.25,3487007,-0.82
"Dec 28, 2020",124.82,125.12,126.57,124.46,3615222,0.10
"Dec 24, 2020",124.69,125.00,125.10,124.21,1761122,0.64
"Dec 23, 2020",123.90,123.93,125.16,123.89,2693889,0.23
"Dec 22, 2020",123.61,123.38,124.22,122.41,4337757,0.18
"Dec 21, 2020",123.39,123.80,123.80,121.74,6115671,-1.95
"Dec 18, 2020",125.85,125.59,126.40,124.97,7552845,0.24
"Dec 17, 2020",125.55,126.04,126.04,124.93,3787962,0.00
"Dec 16, 2020",125.55,125.97,126.54,125.30,4530096,-0.30
"Dec 15, 2020",125.93,124.39,125.93,123.45,4359601,1.94
"Dec 14, 2020",123.53,125.32,126.23,123.53,5050023,-0.60
"Dec 11, 2020",124.27,124.08,125.51,123.61,4481416,-0.55
"Dec 10, 2020",124.96,126.31,126.66,124.94,4803172,-1.44
"Dec 09, 2020",126.79,125.91,127.68,125.71,6513517,0.86
"Dec 08, 2020",125.71,125.11,126.33,124.67,5395024,0.81
"Dec 07, 2020",124.70,126.61,126.95,124.57,8318500,-1.97
"Dec 04, 2020",127.20,123.97,127.38,123.64,5522760,2.90
"Dec 03, 2020",123.61,124.16,124.86,123.32,4548161,-0.81
"Dec 02, 2020",124.62,122.92,124.62,122.49,3690737,1.19
"Dec 01, 2020",123.16,123.90,125.83,123.08,5099553,-0.29
"Nov 30, 2020",123.52,123.87,124.97,123.09,5987991,-0.67
"Nov 27, 2020",124.35,124.20,125.31,123.91,2091186,0.12
"Nov 25, 2020",124.20,122.93,124.33,122.11,4135894,-0.18
"Nov 24, 2020",124.42,121.00,124.71,121.00,7759006,3.61
"Nov 23, 2020",120.09,117.41,120.50,117.37,5655119,2.69
"Nov 20, 2020",116.94,117.60,118.04,116.69,5024593,-0.20
"Nov 19, 2020",117.18,116.77,117.43,116.00,3439648,0.35
"Nov 18, 2020",116.77,117.72,118.87,116.77,4606828,-0.79
"Nov 17, 2020",117.70,117.49,118.52,117.08,4134455,-0.56
"Nov 16, 2020",118.36,118.37,118.54,117.12,5293385,1.29
"Nov 13, 2020",116.85,115.19,117.37,115.01,4683512,2.05
"Nov 12, 2020",114.50,115.81,116.34,113.48,6500799,-2.30
"Nov 11, 2020",117.20,118.12,118.35,116.22,4289601,-0.60
"Nov 10, 2020",117.91,116.69,118.15,116.27,5622756,2.06
"Nov 09, 2020",115.53,117.88,119.72,115.27,8992152,1.31
"Nov 06, 2020",114.04,115.08,115.10,113.39,5249171,-0.64
"Nov 05, 2020",114.77,113.29,115.28,113.01,4902206,2.56
"Nov 04, 2020",111.90,112.79,113.91,111.20,5800071,-1.98
"Nov 03, 2020",114.16,113.95,115.62,113.70,4204287,1.11
"Nov 02, 2020",112.91,112.88,113.80,112.30,5311497,1.12
"Oct 30, 2020",111.66,107.90,111.80,107.75,7923882,2.53
"Oct 29, 2020",108.91,107.25,109.64,106.55,6760241,2.12
"Oct 28, 2020",106.65,108.70,109.68,105.92,9427321,-3.54
"Oct 27, 2020",110.56,112.14,112.22,110.03,5936106,-1.48
"Oct 26, 2020",112.22,114.45,114.75,111.84,7203366,-3.26
"Oct 23, 2020",116.00,116.50,116.62,115.53,3893362,0.21
"Oct 22, 2020",115.76,115.03,116.04,113.00,7858158,0.61
"Oct 21, 2020",115.06,116.84,117.68,114.83,9755308,-1.97
"Oct 20, 2020",117.37,119.50,119.71,116.86,21501072,-6.49
"Oct 19, 2020",125.52,126.79,127.30,125.09,7478735,-0.33
"Oct 16, 2020",125.93,125.17,126.43,124.65,4714320,0.83
"Oct 15, 2020",124.89,124.23,125.20,124.00,3389301,-0.83
"Oct 14, 2020",125.94,125.17,126.94,125.17,3730139,0.67
"Oct 13, 2020",125.10,126.63,127.13,124.49,5406088,-1.66
"Oct 12, 2020",127.21,128.05,128.25,126.45,4635115,-0.45
"Oct 09, 2020",127.79,132.00,132.00,127.60,8353704,-2.81
"Oct 08, 2020",131.49,130.76,135.26,129.79,25288926,5.98
"Oct 07, 2020",124.07,122.74,124.39,122.35,2815663,1.72
"Oct 06, 2020",121.97,122.54,124.83,121.59,3872265,-0.03
"Oct 05, 2020",122.01,121.84,122.75,121.05,3050949,1.19
"Oct 02, 2020",120.57,119.04,121.75,118.82,2925228,-0.43
"Oct 01, 2020",121.09,122.21,123.25,120.36,3211661,-0.48
"Sep 30, 2020",121.67,121.46,122.91,120.86,3261235,0.60
"Sep 29, 2020",120.94,121.30,122.18,120.21,2130564,-0.65
"Sep 28, 2020",121.73,120.54,122.31,120.47,3509576,2.34
"Sep 25, 2020",118.95,117.60,119.41,116.94,2953686,0.73
"Sep 24, 2020",118.09,118.20,119.51,116.50,3546160,-0.62
"Sep 23, 2020",118.83,120.95,121.59,118.43,3939398,-1.39
"Sep 22, 2020",120.51,120.41,121.45,119.57,2957809,0.22
"Sep 21, 2020",120.25,120.47,120.68,118.59,5311441,-2.04
"Sep 18, 2020",122.76,124.26,124.92,122.65,5391570,-1.73
"Sep 17, 2020",124.92,122.62,125.53,121.99,3171262,0.56
"Sep 16, 2020",124.22,122.88,125.80,122.83,3789458,1.45
"Sep 15, 2020",122.44,122.72,123.40,122.25,2915221,0.29
"Sep 14, 2020",122.09,122.36,123.36,121.79,3641887,0.52
"Sep 11, 2020",121.46,121.39,122.70,120.73,3548091,0.75
"Sep 10, 2020",120.56,122.39,123.54,120.25,3978805,-1.39
"Sep 09, 2020",122.26,121.93,123.70,121.31,3770678,0.87
"Sep 08, 2020",121.21,122.50,122.87,120.74,5210292,-0.89
"Sep 04, 2020",122.30,124.35,125.35,121.24,6018238,-1.73
"Sep 03, 2020",124.45,128.27,129.93,123.66,5716750,-2.91
"Sep 02, 2020",128.18,123.83,128.69,123.60,6592430,3.87
"Sep 01, 2020",123.40,122.85,123.95,122.15,3149919,0.07
"Aug 31, 2020",123.31,125.04,125.04,123.04,4827879,-1.41
"Aug 28, 2020",125.07,124.96,125.30,124.22,3099940,0.34
"Aug 27, 2020",124.65,124.43,125.10,123.98,3422654,0.39
"Aug 26, 2020",124.17,124.83,125.07,123.96,3388687,-0.38
"Aug 25, 2020",124.64,125.99,126.81,124.50,2977697,-0.83
"Aug 24, 2020",125.68,123.71,126.06,123.39,4070816,2.05
"Aug 21, 2020",123.16,123.01,123.48,122.31,3385051,0.01
"Aug 20, 2020",123.15,123.31,124.02,122.86,2561164,-0.56
"Aug 19, 2020",123.84,124.82,125.49,123.50,3743949,-0.86
"Aug 18, 2020",124.92,124.80,125.48,124.24,2882355,0.39
"Aug 17, 2020",124.44,125.20,125.54,124.43,3360064,-0.66
"Aug 14, 2020",125.27,124.20,125.56,123.91,2963753,0.19
"Aug 13, 2020",125.03,126.00,126.37,124.77,3171258,-1.32
"Aug 12, 2020",126.70,127.16,127.79,125.89,3530177,-0.04
"Aug 11, 2020",126.75,128.76,130.45,126.63,5001176,-0.28
"Aug 10, 2020",127.11,125.34,127.24,125.23,3968295,1.72
"Aug 07, 2020",124.96,123.50,125.07,123.21,3651226,-0.92
"Aug 06, 2020",126.12,125.12,126.24,125.12,3417131,0.53
"Aug 05, 2020",125.45,126.72,126.75,124.63,3675400,-0.31
"Aug 04, 2020",125.84,124.00,125.84,123.89,3431366,1.23
"Aug 03, 2020",124.31,123.38,124.41,122.20,3526574,1.11
"Jul 31, 2020",122.94,122.71,122.99,121.09,5277652,0.03
"Jul 30, 2020",122.90,123.80,123.90,121.68,3988062,-1.93
"Jul 29, 2020",125.32,124.56,125.99,124.07,2833141,0.68
"Jul 28, 2020",124.47,126.04,126.28,124.22,4178176,-1.38
"Jul 27, 2020",126.21,124.92,126.30,124.92,3733547,0.33
"Jul 24, 2020",125.79,126.48,127.65,125.50,3531076,-1.21
"Jul 23, 2020",127.33,129.03,129.35,127.16,4220136,-1.04
"Jul 22, 2020",128.67,125.88,129.47,125.86,8195366,2.07
"Jul 21, 2020",126.06,130.89,132.06,125.82,15364948,-0.25
"Jul 20, 2020",126.37,126.07,127.07,125.14,9927668,1.01
"Jul 17, 2020",125.11,124.39,125.63,123.20,3988460,0.89
"Jul 16, 2020",124.01,122.66,124.45,122.17,4330917,0.82
"Jul 15, 2020",123.00,122.23,123.96,122.22,4473400,1.99
"Jul 14, 2020",120.60,118.62,120.87,117.94,4534397,1.17
"Jul 13, 2020",119.20,119.64,120.97,118.67,4650651,0.72
"Jul 10, 2020",118.35,115.50,118.57,115.29,4285705,2.28
"Jul 09, 2020",115.71,117.62,117.62,115.20,4762991,-1.70
"Jul 08, 2020",117.71,118.05,118.64,116.50,5192806,0.11
"Jul 07, 2020",117.58,119.00,119.51,117.33,4278307,-2.17
"Jul 06, 2020",120.19,121.39,121.75,119.47,4045439,0.41
"Jul 02, 2020",119.70,119.69,121.42,119.26,3746958,0.98
"Jul 01, 2020",118.54,120.27,121.22,118.37,4655765,-1.85
"Jun 30, 2020",120.77,119.21,121.18,119.04,3919469,0.85
"Jun 29, 2020",119.75,117.98,119.75,117.41,4159488,2.18
"Jun 26, 2020",117.19,118.26,118.99,116.26,10750107,-1.55
"Jun 25, 2020",119.03,116.48,119.20,116.16,6130626,2.24
"Jun 24, 2020",116.42,117.96,118.13,115.90,6750990,-2.50
"Jun 23, 2020",119.41,122.11,122.90,119.23,6632605,-1.37
"Jun 22, 2020",121.07,122.03,122.50,120.53,4773499,-1.14
"Jun 19, 2020",122.47,126.49,126.75,122.27,8092354,-1.36
"Jun 18, 2020",124.16,123.08,124.36,122.40,2865362,0.01
"Jun 17, 2020",124.15,125.46,126.14,123.42,3156836,-0.80
"Jun 16, 2020",125.15,125.00,127.50,123.16,5609087,2.88
"Jun 15, 2020",121.65,119.01,122.34,118.30,5151240,-0.21
"Jun 12, 2020",121.91,121.25,123.12,119.28,6220327,3.30
"Jun 11, 2020",118.01,125.95,126.10,117.88,11763629,-9.13
"Jun 10, 2020",129.87,132.00,132.00,129.87,4734835,-1.52
"Jun 09, 2020",131.87,133.49,133.50,131.03,5393644,-2.86
"Jun 08, 2020",135.75,132.50,135.85,132.50,5370469,2.79
"Jun 05, 2020",132.06,133.88,134.23,131.75,5892960,2.46
"Jun 04, 2020",128.89,127.75,128.92,127.03,3864785,-0.12
"Jun 03, 2020",129.05,127.16,129.59,127.16,3917746,2.42
"Jun 02, 2020",126.00,125.67,126.00,124.66,2978056,0.89
"Jun 01, 2020",124.89,124.67,125.75,124.07,2883294,-0.01
"May 29, 2020",124.90,123.67,125.13,122.24,7930467,0.30
"May 28, 2020",124.53,126.86,126.86,124.25,3916377,-0.80
"May 27, 2020",125.54,123.47,125.82,123.47,5727496,3.10
"May 26, 2020",121.76,121.29,122.61,121.11,5469282,2.85
"May 22, 2020",118.39,119.37,119.46,117.59,4180771,-0.61
"May 21, 2020",119.12,120.41,121.72,118.98,4000863,-1.86
"May 20, 2020",121.38,121.15,122.45,120.66,3840858,0.91
"May 19, 2020",120.29,121.22,122.12,120.21,3241117,-1.04
"May 18, 2020",121.56,119.90,122.33,119.90,4207593,3.92
"May 15, 2020",116.98,115.76,117.35,115.25,4786330,0.03
"May 14, 2020",116.95,114.22,116.96,111.83,5259373,1.05
"May 13, 2020",115.73,119.59,119.64,114.85,5882813,-3.77
"May 12, 2020",120.26,123.01,124.32,120.26,4784457,-1.90
"May 11, 2020",122.59,121.81,123.45,120.67,3535276,-0.33
"May 08, 2020",122.99,122.67,123.23,121.06,5003939,1.45
"May 07, 2020",121.23,122.98,123.26,120.85,4414328,-1.58
"May 06, 2020",123.17,123.24,124.05,122.41,3864589,0.48
"May 05, 2020",122.58,123.39,124.32,122.47,3899416,0.74
"May 04, 2020",121.68,120.82,121.97,119.39,4017877,-0.16
"May 01, 2020",121.87,123.19,123.47,121.39,4925535,-2.94
"Apr 30, 2020",125.56,126.52,127.27,125.22,6635783,-2.43
"Apr 29, 2020",128.69,128.88,129.31,127.53,5257579,1.92
"Apr 28, 2020",126.27,128.03,128.20,125.38,4778144,0.28
"Apr 27, 2020",125.92,125.56,126.99,125.47,4923806,0.96
"Apr 24, 2020",124.72,122.41,125.00,120.76,4987346,2.78
"Apr 23, 2020",121.35,119.57,123.03,119.12,6881615,1.71
"Apr 22, 2020",119.31,119.87,120.33,117.55,7087869,2.18
"Apr 21, 2020",116.76,114.00,117.14,112.06,14349032,-3.03
"Apr 20, 2020",120.41,119.15,122.86,118.14,8181736,0.24
"Apr 17, 2020",120.12,119.30,120.39,117.92,4965992,3.79
"Apr 16, 2020",115.73,119.01,119.75,114.42,6457556,-2.49
"Apr 15, 2020",118.69,119.12,120.19,116.76,5637341,-4.21
"Apr 14, 2020",123.91,123.46,125.18,122.62,5088660,2.28
"Apr 13, 2020",121.15,121.63,121.80,118.04,5119713,-0.29
"Apr 09, 2020",121.50,120.48,122.92,120.17,5576815,1.85
"Apr 08, 2020",119.29,116.31,119.96,115.07,5158641,3.78
"Apr 07, 2020",114.94,118.80,119.57,114.87,5595329,0.10
"Apr 06, 2020",114.82,110.35,115.63,110.13,7034193,7.97
"Apr 03, 2020",106.34,108.92,110.07,104.92,4538750,-3.33
"Apr 02, 2020",110.00,105.37,110.32,105.14,6328674,4.62
"Apr 01, 2020",105.14,106.36,109.92,104.52,6112947,-5.22
"Mar 31, 2020",110.93,112.00,113.81,110.17,6346676,-1.77
"Mar 30, 2020",112.93,108.09,113.46,107.81,5564541,4.54
"Mar 27, 2020",108.03,108.79,111.48,107.64,6423038,-4.31
"Mar 26, 2020",112.89,106.61,113.04,105.62,7158052,6.65
"Mar 25, 2020",105.85,105.46,112.36,102.89,8654047,0.35
"Mar 24, 2020",105.48,99.82,105.88,99.37,7973944,11.30
"Mar 23, 2020",94.77,94.60,97.74,90.56,9729393,-0.65
"Mar 20, 2020",95.39,100.92,100.99,94.71,10546455,-4.93
"Mar 19, 2020",100.34,102.03,103.66,98.25,8396521,-3.10
"Mar 18, 2020",103.55,100.39,106.83,99.56,8772460,-2.91
"Mar 17, 2020",106.65,100.61,107.39,97.10,9258338,7.64
"Mar 16, 2020",99.08,98.00,107.41,95.00,10567960,-8.22
"Mar 13, 2020",107.95,108.68,109.16,100.81,12502113,5.00
"Mar 12, 2020",102.81,109.65,109.80,102.28,12512655,-12.85
"Mar 11, 2020",117.97,121.01,122.58,116.38,8451038,-5.45
"Mar 10, 2020",124.77,122.78,124.88,115.76,11410688,5.91
"Mar 09, 2020",117.81,120.16,122.41,117.28,10757487,-7.77
"Mar 06, 2020",127.73,126.70,128.33,124.52,8193257,-1.40
"Mar 05, 2020",129.55,130.50,132.29,128.45,5446227,-3.48
"Mar 04, 2020",134.22,131.58,134.28,129.00,4996370,4.13
"Mar 03, 2020",128.90,134.48,136.09,127.80,7896068,-4.02
"Mar 02, 2020",134.30,130.75,134.44,127.95,8531415,3.19
"Feb 28, 2020",130.15,129.98,131.09,126.36,13012228,-2.22
"Feb 27, 2020",133.11,137.24,138.69,133.01,8421125,-4.75
"Feb 26, 2020",139.75,142.90,144.06,139.60,5409537,-1.38
